ID,PAGO ERICK,Family Case Number,"	
Número de caso",Estado del Caso,Cantidad de Postes,Nombre de empresa / Cliente,Comuna,Fecha 1ra. Inspección,Fecha que se asignó,Fecha de inspección,TIENE PLANO?,X,Y,RESULTADO (ERICK),Observación TERRENO,INSPECTOR,E. DE P.
1,OK,112183,114594,New Feasibility opened,2,Empresa Nacional de Telecomunicaciones S.A,Ñuñoa,X,2024-05-08 00:00:00,2024-05-08 00:00:00,SI,,,RECHAZADO,CHL_NAS,ERICK SANDOVAL,1
2,OK,112218,114593,New Feasibility opened,5,Empresa Nacional de Telecomunicaciones S.A,Las Condes,X,2024-05-08 00:00:00,2024-05-08 00:00:00,SI,,,RECHAZADO,CHL_NAS,ERICK SANDOVAL,1
3,OK,112481,114592,New Feasibility opened,2,Empresa Nacional de Telecomunicaciones S.A,San Miguel,X,2024-05-09 00:00:00,2024-05-09 00:00:00,SI,,,RECHAZADO,CHL_NAS,ERICK SANDOVAL,1
4,OK,113094,114588,New Feasibility opened,2,Empresa Nacional de Telecomunicaciones S.A,Maipú,X,2024-05-09 00:00:00,2024-05-09 00:00:00,SI,,,RECHAZADO,CHL_NAS,ERICK SANDOVAL,1
5,OK,113574,114587,New Feasibility opened,27,Empresa Nacional de Telecomunicaciones S.A,Quinta Normal,X,2024-05-07 00:00:00,2024-05-07 00:00:00,SI,,,RECHAZADO,CHL_NAS,ERICK SANDOVAL,1
6,OK,114674,114980,New Feasibility opened,8,Empresa Nacional de Telecomunicaciones S.A,Peñalolén,X,2024-05-08 00:00:00,2024-05-08 00:00:00,SI,,,RECHAZADO,CHL_NAS,ERICK SANDOVAL,1
7,OK,111977,114982,New Feasibility opened,10,Empresa Nacional de Telecomunicaciones S.A,Lampa,X,2024-05-09 00:00:00,2024-05-09 00:00:00,SI,,,APROBADO,CHL_NAS,ERICK SANDOVAL,1
8,OK,111855,114983,New Feasibility opened,6,Empresa Nacional de Telecomunicaciones S.A,Quilicura,X,2024-05-09 00:00:00,2024-05-09 00:00:00,SI,,,APROBADO,CHL_NAS,ERICK SANDOVAL,1
9,OK,115740,116991,New Feasibility opened,15,Empresa Nacional de Telecomunicaciones S.A,Santiago,X,2024-05-16 00:00:00,2024-05-16 00:00:00,SI,,,APROBADO,CHL_NAS,ERICK SANDOVAL,1
10,OK,116298,116992,New Feasibility opened,4,Empresa Nacional de Telecomunicaciones S.A,Pudahuel,X,2024-05-16 00:00:00,2024-05-16 00:00:00,SI,,,APROBADO,CHL_NAS,ERICK SANDOVAL,1
11,OK,118211,118977,New Feasibility opened,19,Empresa Nacional de Telecomunicaciones S.A,La Granja,X,2024-05-23 00:00:00,2024-05-23 00:00:00,SI,,,APROBADO,CHL_NAS,ERICK SANDOVAL,1
12,OK,118891,118976,New Feasibility opened,41,Empresa Nacional de Telecomunicaciones S.A,Conchalí,X,2024-05-24 00:00:00,2024-05-24 00:00:00,SI,,,RECHAZADO,CHL_NAS,ERICK SANDOVAL,1
13,OK,119526,119801,New Feasibility opened,25,Empresa Nacional de Telecomunicaciones S.A,Renca,X,2024-05-28 00:00:00,2024-05-28 00:00:00,SI,,,RECHAZADO,CHL_NAS,ERICK SANDOVAL,1
14,OK,119535,119799,New Feasibility opened,10,Empresa Nacional de Telecomunicaciones S.A,Colina,X,2024-05-28 00:00:00,2024-05-28 00:00:00,SI,,,APROBADO,CHL_NAS,ERICK SANDOVAL,1
15,OK,119788,119797,New Feasibility opened,7,Empresa Nacional de Telecomunicaciones S.A,Conchalí,X,2024-05-28 00:00:00,2024-05-28 00:00:00,SI,,,APROBADO,CHL_NAS,ERICK SANDOVAL,1
